Rapport sur le planning individuel,,SG_fichier pour LM Planning individuel full periode de planif,,,,,,,
Période (dates) :,,6/26/17 - 7/9/17,,,,,,,
Site,Fuseau horaire,Equipe,ID employé,Agent,Date,Heures payées,Etat du planning,Heure de début :,Heure de fin :
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,6/26/17,,Jour de repos,,
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,6/27/17,7:48,SG- Telephone 3933_SG CRC Nanterre,8:45 AM,5:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,8:45 AM,11:00 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,05 Pause Matin,11:00 AM,11:15 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,11:15 AM,2:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Repas 5h,2:00 PM,2:57 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,2:57 PM,4:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,10 Pause AM,4:30 PM,4:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,4:45 PM,5:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,6/28/17,7:48,SG- Telephone 3933_SG CRC Nanterre,8:15 AM,5:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,8:15 AM,9:15 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,05 Pause Matin,9:15 AM,9:30 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,9:30 AM,12:25 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Repas 5h,12:25 PM,1:22 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,1:22 PM,3:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,10 Pause AM,3:45 PM,4:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,4:00 PM,5:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,6/29/17,7:48,"SG- Telephone 3933_SG CRC Nanterre, SG- Email Entrant_SG- ",8:15 AM,5:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Email Site 1,8:15 AM,9:45 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,05 Pause Matin,9:45 AM,10:00 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,10:00 AM,12:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Email Site 1,12:15 PM,1:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Repas 5h,1:15 PM,2:12 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,2:12 PM,4:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,10 Pause AM,4:15 PM,4:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,4:30 PM,5:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,6/30/17,7:48,"SG- Campagne Sortant_SG- CRC Nanterre, SG- Telephone ",9:15 AM,6:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,9:15 AM,10:15 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,05 Pause Matin,10:15 AM,10:30 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,10:30 AM,11:45 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Repas 5h,11:45 AM,12:42 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Sortant S1,12:42 PM,2:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,2:15 PM,4:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,10 Pause AM,4:45 PM,5:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,5:00 PM,6:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,7/1/17,7:48,"SG- Campagne Sortant_SG- CRC Nanterre, SG- Email ",9:15 AM,6:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Email Site 1,9:15 AM,11:15 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,05 Pause Matin,11:15 AM,11:30 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Email Site 1,11:30 AM,1:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Repas 5h,1:15 PM,2:12 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Sortant S1,2:12 PM,4:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,10 Pause AM,4:30 PM,4:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Sortant S1,4:45 PM,6:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,7/2/17,,Jour de repos,,
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,7/3/17,,Jour de repos,,
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,7/4/17,7:48,SG- Telephone 3933_SG CRC Nanterre,8:30 AM,5:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,01,JPAgent01 JPAgent01,,,Entrant S1,8:30 AM,11:15 AM
